------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
2343181758205031,51467623,0,005244255065917969,13762560
2642650054447031,40610071,0,009319067001342773,13762560
3245960760166577,58909483,0,0046825408935546875,13762560
3043960244180431,49101329,0,01846933364868164,13762560
3048215702556757,53728237,0,0066699981689453125,13762560
1857561534674099,38847841,0,008072376251220703,13762560
2773232725600541,58014973,0,011997699737548828,13762560
1934118236217649,43916531,0,016669750213623047,13762560
2063557544771771,54982217,0,010552644729614258,13762560
3270302055471943,61210361,0,010805368423461914,13762560
2937670944563539,52551767,0,01107478141784668,13762560
2619204559231849,45450049,0,009714365005493164,13762560
3633204410410681,60427879,0,005246877670288086,13762560
3899006245769941,60857723,0,009760141372680664,13762560
2309075807943397,36678667,0,015862464904785156,13762560
