------------ Tamaño: 32 -----------
p,alpha,beta,resultado,tiempo,memoria
66993967457,3,59888528086,34143747558,0.7366945743560791,51896320
66993967457,3,156377214,12286015553,0.7067220211029053,51896320
66993967457,3,23179182558,14461898809,0.7100608348846436,51896320
66993967457,3,10652037082,50405063688,0.7513377666473389,51896320
66993967457,3,7863495026,23925397164,0.7211728096008301,51896320
66993967457,3,26559535301,2543320000,0.6974194049835205,51896320
66993967457,3,50741327778,16641421385,0.7101700305938721,51896320
66993967457,3,39047887542,27825362622,0.723106861114502,51896320
66993967457,3,3224807925,32380794284,0.7285964488983154,51896320
66993967457,3,7824105141,29183152261,0.7265820503234863,51896320
66993967457,3,38771676899,54335651523,0.7550771236419678,51896320
66993967457,3,8366740491,59788199507,0.7614152431488037,51896320
66993967457,3,38110996778,25201535559,0.7208435535430908,51896320
66993967457,3,25300200909,62390798101,0.7638862133026123,51896320
66993967457,3,62664034233,52698084627,0.752082109451294,51896320
66993967457,3,37568180536,39693574496,0.7374510765075684,51896320
66993967457,3,17247757174,42622104683,0.7401916980743408,51896320
66993967457,3,15366231010,6205546788,0.6967575550079346,51896320
66993967457,3,28420630119,45355051225,0.7436392307281494,51896320
66993967457,3,58716266391,10367291994,0.7015218734741211,51896320
66993967457,3,23345199444,27949318088,0.7242169380187988,51896320
66993967457,3,44679437314,63776992889,0.765484094619751,51896320
66993967457,3,43599463711,34438244636,0.7314326763153076,51896320
66993967457,3,60545786485,3899093678,0.6946759223937988,51896320
66993967457,3,12875622061,20706654804,0.714146614074707,51896320
66993967457,3,52074632714,43018124187,0.740201473236084,51896320
66993967457,3,35251078158,40703869820,0.7396445274353027,51896320
66993967457,3,16940403253,22201909265,0.7167220115661621,51896320
66993967457,3,16069519954,57252927944,0.7584958076477051,51896320
66993967457,3,40604813270,32260345413,0.7283048629760742,51896320
66993967457,3,45177700541,44937190775,0.7450428009033203,51896320
66993967457,3,5663891402,57245392605,0.7577941417694092,51896320
66993967457,3,7981497758,43135471226,0.7424883842468262,51896320
66993967457,3,17409178487,19023192519,0.7162377834320068,51896320
66993967457,3,29418358916,12796699086,0.7090611457824707,51896320
66993967457,3,1359250418,41860070554,0.7439637184143066,51896320
66993967457,3,33320565533,38221646175,0.7396669387817383,51896320
66993967457,3,59023864462,24180561999,0.7216618061065674,51896320
66993967457,3,7106172603,65508386488,0.7686710357666016,51896320
66993967457,3,7441433513,45303431714,0.7439990043640137,51896320
66993967457,3,3888119127,23334875655,0.7190825939178467,51896320
66993967457,3,36761042288,31929263323,0.7290387153625488,51896320
66993967457,3,4597171708,28368052364,0.7245008945465088,51896320
66993967457,3,510115972,53669298895,0.7537386417388916,51896320
66993967457,3,7831447767,50725731938,0.7527151107788086,51896320
Media del tiempo: 0.7797155356407166
Media de la memoria: 49.36671875
------------ Tamaño: 40 -----------
p,alpha,beta,resultado,tiempo,memoria
927498176207,100,28012336526,37164577312,3.5142409801483154,138510336
927498176207,100,199305343262,172709304067,3.55177640914917,159440896
927498176207,100,795887145247,150550050043,3.543311357498169,159555584
927498176207,100,146423289318,243774646148,3.572009801864624,159555584
927498176207,100,706951351644,378188682975,3.6410670280456543,159539200
927498176207,100,328281407935,216695386018,3.558061122894287,159522816
927498176207,100,804550621682,339524646304,3.611179828643799,159506432
927498176207,100,583966937092,266076117689,3.5885915756225586,159490048
927498176207,100,561467357775,40027009539,3.4796903133392334,159473664
927498176207,100,119536817260,450390698100,3.655120372772217,159457280
927498176207,100,717945443853,408514110961,3.6382079124450684,159440896
927498176207,100,549487593987,113680326945,3.501692771911621,159555584
927498176207,100,712771495956,104981267421,3.499403238296509,159539200
927498176207,100,610138234573,209311712499,3.5518782138824463,159522816
927498176207,100,309691831346,177021536560,3.5320560932159424,159506432
927498176207,100,536447843641,133692470014,3.528358221054077,159490048
927498176207,100,49792645106,44358622545,3.4986257553100586,159473664
927498176207,100,740893925110,351736114678,3.6184275150299072,159457280
927498176207,100,161280252702,418865677236,3.649409055709839,159440896
